Name;Start;Lat;Long;Elv;county
Onward (2033);1999-September;32.75;-90.93;100;Sharkey
Perthshire (2046);2002-April;33.97;-90.90;200;Bolivar
Sandy Ridge (2109);2005-September;33.66;-90.57;138;Sunflower
Scott (2070);2002-August;33.62;-91.10;165;Bolivar
Silver City (2086);2004-February;33.09;-90.51;115;Humphreys
Starkville (2064);1999-September;33.63;-88.77;340;Oktibbeha
Tnc Fort Bayou (2082);2003-November;30.47;-88.74;43;Jackson
Tunica (2034);1999-September;34.68;-90.42;260;Tunica
Vance (2035);1999-September;34.07;-90.35;150;Tallahatchie
Conrad Ag Rc (2117);2006-October;48.30;-111.92;3706;Pondera
Fort Assiniboine #1 (2019);1991-October;48.48;-109.80;2710;Hill
Jordan (2121);2007-June;47.52;-107.13;2820;Garfield
Lindsay (581);1990-October;47.21;-105.19;2871;Dawson
Moccasin (2119);2006-October;47.06;-109.95;4256;Judith Basin
Sidney (2120);2006-October;47.77;-104.25;2274;Richland
Table Mountain (808);1986-September;45.80;-111.59;4474;Gallatin
Violett (2118);2006-October;48.44;-111.18;3225;Liberty
Tidewater #1 (2008);1993-October;35.87;-76.65;20;Washington
Mandan #1 (2020);1993-November;46.77;-100.92;1930;Morton
Johnson Farm (2111);2005-October;40.37;-101.72;3341;Chase
Rogers Farm #1 (2001);1993-October;40.85;-96.47;1215;Lancaster
Hubbard Brook (2069);2002-September;43.93;-71.72;1480;Grafton
Mascoma River (2043);1998-August;43.78;-72.03;1400;Grafton
Adams Ranch #1 (2015);1993-October;34.25;-105.42;6175;Lincoln
Alcalde (2172);2010-March;36.09;-106.06;5693;Rio Arriba
Crossroads (2107);2005-March;33.54;-103.24;4055;Lea
Jornada Exp Range (2168);2009-October;32.56;-106.70;4360;Dona Ana
Los Lunas PMC (2169);2009-September;34.77;-106.76;4846;Valencia
Sevilleta (2171);2010-March;34.36;-106.69;5233;Socorro
Willow Wells (2108);2005-March;33.53;-103.63;4537;Lea
Buckhorn (2216);2014-October;40.88;-119.95;3925;Washoe
Charkiln (2145);2007-October;36.37;-115.82;6683;Clark
Hayford Peak (2143);2007-October;36.66;-115.20;9870;Clark
Kyle Canyon (2141);2007-October;36.27;-115.61;7046;Clark
Lovell Summit (2146);2007-October;36.17;-115.61;6582;Clark
Lovelock NNR (2116);2006-September;40.09;-118.49;3934;Pershing
Pine Nut (2144);2007-October;36.57;-115.20;6780;Clark
Porter Canyon (2170);2009-October;39.47;-117.62;7187;Lander
Sheldon (750);1988-October;41.90;-119.44;5865;Washoe
Trough Springs (2142);2007-October;36.37;-115.78;7846;Clark
Geneva #1 (2011);1993-October;42.88;-77.03;725;Ontario
Molly Caren #1 (2014);1993-October;39.95;-83.45;1060;Madison
Sunleaf Nursery (2073);2003-November;41.80;-81.08;670;Lake
Fort Reno #1 (2022);1998-November;35.55;-98.02;1400;Canadian
Lynhart Ranch (2074);2003-June;42.02;-121.39;4092;Klamath
Mahantango Ck (2028);1999-April;40.67;-76.67;730;Northumberland
Rock Springs Pa (2036);1999-November;40.72;-77.93;1220;Centre
Pee Dee (2037);1999-November;34.30;-79.73;120;Darlington
Youmans Farm (2038);1999-November;32.67;-81.20;75;Hampton
Eros Data Center (2072);2003-May;43.74;-96.61;1602;Minnehaha
Allen Farms (2076);2003-June;35.07;-86.89;705;Giles
Eastview Farm (2077);2003-June;35.14;-86.19;1054;Franklin
McAllister Farm (2075);2003-June;35.06;-86.59;913;Lincoln
Beaumont (2207);2013-September;30.07;-94.29;19;Jefferson
Bushland #1 (2006);1993-October;35.17;-102.10;3820;Randall
Kingsville (2206);2013-September;27.55;-97.88;67;Kleberg
Knox City (2201);2013-September;33.45;-99.87;1448;Knox
Lehman (2106);2005-March;33.63;-102.75;3767;Cochran
Levelland (2105);2005-March;33.55;-102.37;3510;Hockley
Nacogdoches (2228);2018-April;31.50;-94.76;245;Nacogdoches
Prairie View #1 (2016);1993-October;30.08;-95.98;270;Waller
Reese Center (2104);2005-March;33.62;-102.04;3333;Lubbock
Riesel (2199);2013-September;31.48;-96.88;539;Falls
San Angelo (2200);2013-September;31.55;-100.51;1970;Tom Green
Stephenville (2203);2013-September;32.25;-98.20;1311;Erath
Uvalde (2204);2013-September;29.22;-99.76;915;Uvalde
Vernon (2202);2013-September;34.02;-99.25;1184;Wilbarger
Weslaco (2205);2013-September;26.16;-97.96;57;Hidalgo
Alkali Mesa (2138);2007-September;37.67;-109.36;6445;San Juan
Blue Creek (2135);2007-September;41.94;-112.43;5179;Box Elder
Buffalo Jump (2151);2009-August;41.34;-111.19;6682;Rich
Cache Junction (2136);2007-September;41.82;-111.98;4425;Cache
Cave Valley (2161);2010-April;37.36;-113.12;6273;Washington
Chicken Ridge (2150);2009-August;41.33;-111.30;7649;Morgan
Circleville (2125);2007-May;38.15;-112.25;6120;Piute
Dugway (2167);2009-June;40.17;-113.02;4314;Tooele
Eastland (2130);2007-May;37.78;-109.17;6837;San Juan
Enterprise (2128);2007-May;37.63;-113.64;5250;Iron
Ephraim (2126);2007-May;39.37;-111.58;5531;Sanpete
Goshute (2165);2010-March;39.99;-114.00;5487;Tooele
Grantsville (2152);2009-August;40.59;-112.39;4337;Tooele
Green River (2131);2005-May;39.02;-110.16;4103;Emery
Grouse Creek (2160);2010-May;41.78;-113.82;5835;Box Elder
Hals Canyon (2164);2010-March;38.59;-113.75;5260;Millard
Harms Way (2166);2010-March;38.31;-109.24;7055;San Juan
Holden (2127);2007-May;39.19;-112.40;4745;Millard
Little Red Fox (2155);2010-January;40.18;-110.30;5395;Duchesne
Manderfield (2156);2010-April;38.37;-112.64;6185;Beaver
Mccracken Mesa (2140);2007-September;37.45;-109.34;5315;San Juan
Milford (2129);2007-May;38.34;-113.01;5005;Beaver
Morgan (2133);2007-May;41.00;-111.69;5113;Morgan
Mountain Home (2134);2007-September;40.37;-110.41;6927;Duchesne
Nephi (2137);2007-September;39.65;-111.87;5245;Juab
Panguitch (2157);2010-January;37.87;-112.43;6534;Garfield
Park Valley (2153);2010-January;41.77;-113.29;5098;Box Elder
Price (2132);2007-May;39.53;-110.81;5637;Carbon
Sand Hollow (2159);2010-January;37.11;-113.36;3088;Washington
Split Mountain (2154);2010-January;40.39;-109.35;4844;Uintah
Spooky (2158);2010-April;37.51;-111.26;5341;Kane
Tule Valley (2163);2010-March;39.24;-113.46;4592;Millard
Vermillion (2162);2010-April;37.19;-112.19;6392;Kane
West Summit (2139);2007-September;38.01;-109.13;6993;San Juan
N Piedmont Arec (2039);2000-June;38.23;-78.12;520;Orange
Reynolds Homestead (2089);2004-April;36.63;-80.13;1127;Patrick
Shenandoah (2088);2004-April;37.92;-79.20;1763;Augusta
Tidewater Arec (2040);2000-June;36.68;-76.77;80;Suffolk
Lye Brook (2042);2000-September;43.05;-73.03;2435;Bennington
Mount Mansfield (2041);2000-September;44.53;-72.83;2236;Chittenden
Cook Farm Field D (2198);2013-July;46.78;-117.08;2727;Whitman
Lind #1 (2021);1993-September;47.00;-118.57;1640;Adams
UW Platteville (2196);2013-September;42.71;-90.39;1075;Lafayette
Wabeno #1 (2003);1993-October;45.47;-88.58;1580;Forest
Torrington #1 (2018);1993-October;42.07;-104.13;4280;Goshen
