,Date,Station Id,Station Name,Precipitation Increment (mm),Air Temperature Average (degC),Air Temperature Maximum (degC),Air Temperature Minimum (degC),Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degC) Mean of Hourly Values,Soil Temperature Observed -4in (degC) Mean of Hourly Values,Soil Temperature Observed -8in (degC) Mean of Hourly Values,Soil Temperature Observed -20in (degC) Mean of Hourly Values,Soil Temperature Observed -40in (degC) Mean of Hourly Values,Relative Humidity (pct) Mean of Hourly Values,Solar Radiation/langley Total (langley)
0,2009-01-01,2110,Mayday,0.0,7.2,15.0,-0.6,52.1,58.8,,59.1,58.0,7.5,8.8,9.9,12.3,14.5,62.0,295.9
1,2009-01-02,2110,Mayday,1.0,14.4,17.8,11.1,52.6,59.1,,58.5,57.5,10.6,10.3,10.3,11.9,14.5,90.0,112.2
2,2009-01-03,2110,Mayday,0.0,17.8,22.2,15.6,54.5,59.6,,58.5,57.7,13.1,12.4,11.8,12.0,14.4,85.0,101.4
3,2009-01-04,2110,Mayday,10.0,16.7,22.8,7.2,55.7,59.8,,58.8,57.8,14.2,13.6,13.0,12.4,14.3,88.0,116.6
4,2009-01-05,2110,Mayday,35.0,5.6,7.2,4.4,58.0,59.7,,58.9,57.8,11.1,12.4,12.8,12.9,14.3,94.0,23.69
5,2009-01-06,2110,Mayday,18.0,7.2,10.0,5.0,58.1,59.0,,59.1,57.9,9.3,10.4,11.3,12.8,14.3,94.0,18.6
6,2009-01-07,2110,Mayday,0.0,10.0,14.4,5.0,58.5,59.0,,58.7,57.9,9.5,10.3,10.9,12.5,14.4,62.0,309.9
7,2009-01-08,2110,Mayday,0.0,10.0,13.9,5.0,58.7,59.0,,59.1,57.9,9.3,10.1,10.6,12.3,14.4,60.0,303.1
8,2009-01-09,2110,Mayday,0.0,12.8,21.1,3.9,57.2,59.0,,58.7,57.8,9.4,10.0,10.5,12.1,14.3,58.0,308.4
9,2009-01-10,2110,Mayday,0.0,14.4,23.3,4.4,56.9,59.4,,58.5,57.5,12.5,12.1,11.6,12.0,14.3,81.0,112.9
10,2009-01-11,2110,Mayday,0.0,2.8,7.2,-0.6,52.6,59.1,,59.3,58.0,8.6,10.3,11.2,12.3,14.2,75.0,226.2
11,2009-01-12,2110,Mayday,0.0,5.0,13.3,-1.7,50.4,58.2,,58.8,57.8,7.3,8.7,9.8,12.0,14.2,74.0,293.1
12,2009-01-13,2110,Mayday,0.0,4.4,6.7,-1.7,48.1,57.7,,58.8,57.8,7.1,8.4,9.4,11.6,14.1,65.0,262.5
13,2009-01-14,2110,Mayday,0.0,3.3,12.2,-3.3,45.9,57.3,,58.9,57.7,6.2,7.5,8.5,11.2,14.1,63.0,324.7
14,2009-01-15,2110,Mayday,0.0,-0.6,3.9,-4.4,44.1,56.0,,58.5,57.4,4.8,6.8,8.0,10.8,14.0,58.0,311.7
