,Date,Station Id,Station Name,Precipitation Increment (mm),Air Temperature Average (degC),Air Temperature Maximum (degC),Air Temperature Minimum (degC),Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degC) Mean of Hourly Values,Soil Temperature Observed -4in (degC) Mean of Hourly Values,Soil Temperature Observed -8in (degC) Mean of Hourly Values,Soil Temperature Observed -20in (degC) Mean of Hourly Values,Soil Temperature Observed -40in (degC) Mean of Hourly Values,Relative Humidity (pct) Mean of Hourly Values,Solar Radiation/langley Total (langley)
0,2010-03-09,2171,Sevilleta,,7.8,13.5,-0.7,,,,,,,,,,,43.0,
1,2010-03-10,2171,Sevilleta,0.0,2.8,9.0,-3.5,,,,,,,,,,,56.0,291.73
2,2010-03-11,2171,Sevilleta,0.0,6.3,10.0,0.0,10.1,8.4,24.0,16.0,12.2,8.4,8.6,6.5,8.2,8.8,49.0,144.67
3,2010-03-12,2171,Sevilleta,0.0,4.3,14.0,-4.9,9.5,8.4,23.8,16.1,12.6,6.7,7.0,5.6,8.0,8.7,48.0,552.33
4,2010-03-13,2171,Sevilleta,0.0,8.2,19.5,-3.8,8.6,8.3,24.0,16.1,12.8,8.7,8.6,6.5,8.2,8.6,36.0,511.97
5,2010-03-14,2171,Sevilleta,0.0,5.7,11.6,0.9,7.7,8.3,24.0,16.1,12.9,7.5,8.0,7.1,8.6,8.6,54.0,295.26
6,2010-03-15,2171,Sevilleta,1.0,2.8,8.4,-0.9,11.0,8.5,23.8,16.2,13.0,5.5,6.2,5.8,8.5,8.7,79.0,280.55
7,2010-03-16,2171,Sevilleta,0.0,5.2,15.0,-3.2,11.1,8.9,23.9,16.0,13.1,7.9,7.7,5.7,8.0,8.7,62.0,567.49
8,2010-03-17,2171,Sevilleta,0.0,7.9,19.6,-2.5,10.3,8.9,24.3,16.1,13.1,10.3,10.0,7.5,8.4,8.6,48.0,569.2
9,2010-03-18,2171,Sevilleta,0.0,11.8,20.9,-0.1,9.1,8.8,24.5,16.3,13.3,11.8,11.4,8.9,9.2,8.7,31.0,578.55
10,2010-03-19,2171,Sevilleta,0.0,7.3,16.1,-1.1,8.0,8.6,24.6,16.5,13.2,10.4,10.8,9.4,10.0,8.9,52.0,362.41
11,2010-03-20,2171,Sevilleta,0.0,-0.4,5.5,-3.6,12.8,8.9,24.1,16.4,13.5,6.7,7.5,7.2,9.8,9.2,67.0,455.54
12,2010-03-21,2171,Sevilleta,0.0,4.6,15.1,-5.8,10.9,9.0,24.0,16.2,13.5,7.1,7.3,6.2,9.0,9.3,42.0,593.03
13,2010-03-22,2171,Sevilleta,0.0,10.7,20.5,-0.2,10.0,8.9,24.2,16.1,13.4,10.6,10.2,7.7,9.0,9.2,26.0,569.89
14,2010-03-23,2171,Sevilleta,2.0,8.2,13.6,1.6,10.2,8.8,24.3,16.3,13.6,8.9,9.4,8.3,9.7,9.2,50.0,223.9
15,2010-03-24,2171,Sevilleta,0.0,2.9,9.3,-3.1,10.4,8.6,24.0,16.2,13.6,7.6,8.1,7.1,9.4,9.4,70.0,477.89
16,2010-03-25,2171,Sevilleta,0.0,7.4,17.5,-4.2,9.6,8.5,24.0,16.2,13.5,9.4,9.3,7.2,9.1,9.4,46.0,589.61
17,2010-03-26,2171,Sevilleta,0.0,9.9,18.7,1.8,8.4,8.5,24.3,16.3,13.5,10.4,10.4,8.6,9.6,9.4,29.0,537.74
18,2010-03-27,2171,Sevilleta,0.0,4.9,12.2,-2.6,7.5,8.4,24.2,16.3,13.6,8.9,9.3,8.1,9.8,9.5,47.0,511.63
19,2010-03-28,2171,Sevilleta,0.0,5.4,15.8,-5.8,7.0,8.3,24.0,16.3,13.6,9.8,9.8,7.9,9.7,9.6,42.0,594.51
20,2010-03-29,2171,Sevilleta,0.0,9.8,21.2,-3.8,6.3,8.2,24.2,16.2,13.7,11.8,11.4,9.0,10.0,9.7,26.0,591.2
21,2010-03-30,2171,Sevilleta,0.0,16.5,28.0,4.2,5.3,8.1,24.4,16.4,13.7,14.8,13.9,10.8,10.7,9.8,15.0,603.86
22,2010-03-31,2171,Sevilleta,0.0,17.6,24.4,6.5,4.2,7.9,24.8,16.6,13.9,15.8,15.0,12.2,11.7,10.0,14.0,519.73
23,2010-04-01,2171,Sevilleta,0.0,12.4,18.7,3.4,3.7,7.7,24.7,16.6,13.8,14.6,14.5,12.5,12.5,10.4,22.0,474.47
24,2010-04-02,2171,Sevilleta,0.0,5.1,12.4,-3.4,3.4,7.4,24.2,16.6,14.0,10.6,11.3,10.5,12.3,10.8,34.0,527.93
25,2010-04-03,2171,Sevilleta,0.0,10.7,21.7,-2.7,3.4,7.4,24.1,16.5,14.0,12.8,12.1,10.0,11.7,11.0,24.0,610.93
26,2010-04-04,2171,Sevilleta,0.0,14.9,24.0,2.5,3.1,7.2,24.3,16.5,13.9,15.5,14.5,11.7,12.0,11.0,21.0,623.47
27,2010-04-05,2171,Sevilleta,0.0,16.5,25.7,4.7,2.8,7.0,24.4,16.5,13.8,16.3,15.4,12.8,12.8,11.2,19.0,630.99
28,2010-04-06,2171,Sevilleta,0.0,10.8,15.9,1.7,2.5,6.7,24.3,16.7,14.1,14.6,14.6,12.9,13.3,11.5,21.0,594.28
29,2010-04-07,2171,Sevilleta,0.0,5.3,13.4,-4.2,2.5,6.7,24.0,16.5,14.0,12.0,12.3,11.3,13.1,11.7,21.0,644.67
30,2010-04-08,2171,Sevilleta,0.0,9.4,18.7,-5.1,2.5,6.6,23.8,16.5,14.1,13.5,13.0,11.2,12.8,11.9,22.0,651.05
31,2010-04-09,2171,Sevilleta,0.0,14.4,22.9,3.4,2.5,6.3,24.0,16.6,14.4,16.4,15.2,12.5,12.9,11.9,17.0,615.71
32,2010-04-10,2171,Sevilleta,0.0,14.4,23.5,1.0,2.2,6.2,24.2,16.5,14.2,17.4,16.1,13.5,13.5,12.0,16.0,655.61
