,Date,Station Id,Station Name,Precipitation Increment (mm),Air Temperature Average (degC),Air Temperature Maximum (degC),Air Temperature Minimum (degC),Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degC) Mean of Hourly Values,Soil Temperature Observed -4in (degC) Mean of Hourly Values,Soil Temperature Observed -8in (degC) Mean of Hourly Values,Soil Temperature Observed -20in (degC) Mean of Hourly Values,Soil Temperature Observed -40in (degC) Mean of Hourly Values,Relative Humidity (pct) Mean of Hourly Values,Solar Radiation/langley Total (langley)
0,2009-01-01,750,Sheldon,0,3.1,6.4,-0.8,20.2,12.0,6.4,6.2,,-6.2,-5.8,-5.0,-4.1,,72,
1,2009-01-02,750,Sheldon,0,-1.9,3.6,-10.8,24.0,12.2,6.4,6.2,,-6.2,-5.7,-5.0,-4.1,,77,
2,2009-01-03,750,Sheldon,0,-11.4,-4.9,-18.1,25.9,13.0,6.4,6.3,,-6.1,-5.7,-4.9,-4.1,,75,
3,2009-01-04,750,Sheldon,0,-10.7,-5.3,-20.6,17.5,12.5,6.4,6.3,,-6.9,-6.3,-5.1,-4.2,,71,
4,2009-01-05,750,Sheldon,0,-0.7,1.2,-5.2,11.7,8.0,6.4,6.2,,-7.2,-6.9,-5.4,-4.4,,80,
5,2009-01-06,750,Sheldon,0,2.6,6.2,-0.8,12.3,8.8,6.4,6.2,,-6.8,-6.6,-5.5,-4.5,,80,
6,2009-01-07,750,Sheldon,0,4.8,9.3,0.5,13.4,11.0,6.5,6.3,,-6.6,-6.4,-5.5,-4.5,,64,
7,2009-01-08,750,Sheldon,3,0.5,6.1,-7.8,14.4,12.8,6.4,6.3,,-6.5,-6.3,-5.4,-4.5,,70,
8,2009-01-09,750,Sheldon,0,-6.7,1.0,-12.1,13.3,12.8,6.4,6.2,,-6.8,-6.4,-5.4,-4.5,,74,
9,2009-01-10,750,Sheldon,0,-0.6,8.8,-11.2,11.3,9.0,6.4,6.3,,-7.5,-6.9,-5.5,-4.6,,49,
10,2009-01-11,750,Sheldon,0,2.8,8.1,-3.8,11.4,7.8,6.4,6.2,,-7.2,-6.8,-5.7,-4.7,,58,
11,2009-01-12,750,Sheldon,0,0.9,7.5,-5.7,12.4,9.3,6.4,6.3,,-6.7,-6.5,-5.6,-4.7,,89,
12,2009-01-13,750,Sheldon,0,-1.2,12.6,-9.4,12.7,11.4,6.4,6.3,,-6.7,-6.4,-5.6,-4.7,,74,
13,2009-01-14,750,Sheldon,0,-0.3,13.7,-9.5,12.2,11.3,6.4,6.3,,-6.8,-6.5,-5.6,-4.7,,61,
14,2009-01-15,750,Sheldon,0,-0.4,12.3,-9.0,12.1,9.4,6.5,6.2,,-6.9,-6.6,-5.6,-4.8,,61,
15,2009-01-16,750,Sheldon,0,-1.4,11.2,-11.2,11.8,7.9,6.4,6.2,,-7.1,-6.8,-5.8,-4.8,,65,
16,2009-01-17,750,Sheldon,0,-2.1,10.5,-10.7,11.4,7.0,6.4,6.2,,-7.4,-7.1,-5.9,-4.9,,64,
17,2009-01-18,750,Sheldon,0,-2.7,10.6,-12.0,11.1,6.5,6.4,6.2,,-7.6,-7.4,-6.1,-5.1,,69,
18,2009-01-19,750,Sheldon,0,-3.2,10.8,-11.8,10.5,5.9,6.4,6.3,,-8.0,-7.8,-6.3,-5.3,,68,
19,2009-01-20,750,Sheldon,0,-1.0,9.8,-10.3,10.3,5.7,6.4,6.2,,-8.1,-8.0,-6.6,-5.5,,60,
20,2009-01-21,750,Sheldon,0,1.1,9.1,-7.5,10.5,5.9,6.4,6.2,,-7.8,-7.6,-6.6,-5.6,,56,
21,2009-01-22,750,Sheldon,5,1.5,3.5,0.2,11.5,6.9,6.4,6.2,,-6.9,-6.8,-6.4,-5.5,,87,
22,2009-01-23,750,Sheldon,5,1.9,4.7,-0.5,17.3,11.0,6.5,6.2,,-6.6,-6.4,-6.1,-5.4,,93,
23,2009-01-24,750,Sheldon,0,1.3,3.5,-1.4,34.1,21.6,6.6,6.3,,-6.4,-6.3,-6.0,-5.3,,96,
24,2009-01-25,750,Sheldon,3,-5.4,-1.7,-9.0,34.2,22.5,6.5,6.2,,-6.4,-6.3,-5.9,-5.2,,94,
25,2009-01-26,750,Sheldon,0,-14.6,-9.0,-27.7,33.0,21.8,6.7,6.3,,-6.4,-6.3,-5.9,-5.2,,87,
26,2009-01-27,750,Sheldon,0,-9.9,0.4,-27.8,31.3,21.0,7.7,6.4,,-6.5,-6.3,-5.9,-5.2,,73,
27,2009-01-28,750,Sheldon,0,-2.9,2.7,-11.8,30.5,20.6,9.1,6.3,,-6.4,-6.2,-5.8,-5.1,,79,
28,2009-01-29,750,Sheldon,0,-5.2,6.4,-14.7,30.0,20.2,10.1,6.3,,-6.4,-6.2,-5.8,-5.1,,80,
29,2009-01-30,750,Sheldon,0,-1.6,7.3,-12.0,28.9,19.8,10.6,6.4,,-6.4,-6.1,-5.8,-5.1,,74,
30,2009-01-31,750,Sheldon,0,-1.9,6.7,-9.2,24.1,19.0,11.0,6.4,,-6.5,-6.2,-5.7,-5.0,,68,
31,2009-02-01,750,Sheldon,0,-3.6,5.2,-12.8,18.3,17.8,11.2,6.4,,-6.6,-6.3,-5.8,-5.1,,69,
32,2009-02-02,750,Sheldon,0,1.0,9.1,-7.0,16.6,16.9,11.3,6.4,,-6.5,-6.3,-5.8,-5.1,,60,
33,2009-02-03,750,Sheldon,0,3.0,11.5,-6.4,17.5,16.8,11.4,6.4,,-6.5,-6.3,-5.8,-5.1,,58,
34,2009-02-04,750,Sheldon,0,4.1,10.8,-1.7,19.7,17.1,11.4,6.4,,-6.5,-6.3,-5.8,-5.1,,60,
35,2009-02-05,750,Sheldon,0,1.9,6.5,-2.6,24.4,17.6,11.4,6.5,,-6.4,-6.3,-5.8,-5.1,,72,
36,2009-02-06,750,Sheldon,0,0.2,4.7,-3.4,29.3,18.3,11.4,6.5,,-6.4,-6.2,-5.8,-5.1,,79,
37,2009-02-07,750,Sheldon,0,-1.1,2.4,-4.8,31.7,19.1,11.7,6.6,,-6.4,-6.1,-5.7,-5.1,,89,
38,2009-02-08,750,Sheldon,0,-2.4,3.9,-9.4,30.2,19.2,12.0,6.6,,-6.4,-6.1,-5.7,-5.1,,80,
39,2009-02-09,750,Sheldon,0,-8.5,-2.6,-18.5,29.4,18.9,12.4,6.7,,-6.3,-6.1,-5.7,-5.1,,82,
40,2009-02-10,750,Sheldon,3,-9.3,-2.8,-21.4,27.9,18.7,12.6,6.7,,-6.3,-6.1,-5.7,-5.1,,81,
41,2009-02-11,750,Sheldon,3,-6.2,-3.2,-11.4,25.6,18.3,12.8,6.6,,-6.4,-6.1,-5.7,-5.1,,89,
42,2009-02-12,750,Sheldon,3,-5.6,-2.1,-11.2,24.1,17.9,12.8,6.7,,-6.4,-6.2,-5.7,-5.1,,86,
43,2009-02-13,750,Sheldon,0,-5.1,-2.4,-9.2,23.0,17.5,12.8,6.7,,-6.4,-6.2,-5.7,-5.1,,75,
44,2009-02-14,750,Sheldon,0,-5.3,-2.6,-8.1,21.7,17.2,12.8,6.8,,-6.5,-6.3,-5.8,-5.1,,78,
45,2009-02-15,750,Sheldon,3,-1.6,0.8,-4.3,20.1,16.8,12.7,6.8,,-6.5,-6.3,-5.8,-5.2,,73,
46,2009-02-16,750,Sheldon,0,-1.7,1.8,-5.0,19.3,16.6,12.6,6.8,,-6.5,-6.3,-5.8,-5.2,,81,
47,2009-02-17,750,Sheldon,0,-4.5,1.6,-10.6,18.6,16.4,12.5,6.9,,-6.5,-6.3,-5.8,-5.2,,79,
48,2009-02-18,750,Sheldon,0,-5.7,1.9,-13.7,15.0,15.6,12.4,6.9,,-6.7,-6.4,-5.9,-5.2,,82,
49,2009-02-19,750,Sheldon,0,-2.0,4.3,-8.5,12.6,11.8,12.3,6.9,,-7.0,-6.6,-5.9,-5.3,,75,
50,2009-02-20,750,Sheldon,0,0.5,7.3,-5.8,12.3,10.0,12.2,7.0,,-7.0,-6.6,-6.0,-5.4,,58,
51,2009-02-21,750,Sheldon,3,1.5,7.5,-6.9,12.3,9.8,12.1,7.0,,-7.1,-6.6,-6.0,-5.4,,62,
52,2009-02-22,750,Sheldon,3,3.7,6.1,1.0,13.5,10.7,12.0,7.1,,-6.6,-6.4,-6.0,-5.4,,71,
53,2009-02-23,750,Sheldon,0,3.8,7.7,1.6,27.0,16.6,12.1,7.0,,-6.5,-6.3,-6.0,-5.4,,83,
54,2009-02-24,750,Sheldon,0,2.0,5.4,-3.5,33.6,21.6,14.0,7.0,,-6.4,-6.3,-6.0,-5.4,,73,
55,2009-02-25,750,Sheldon,0,-0.2,2.6,-4.1,33.3,21.6,18.6,7.1,,-6.4,-6.3,-6.0,-5.4,,83,
56,2009-02-26,750,Sheldon,0,-1.2,1.8,-5.9,33.8,21.6,19.7,7.1,,-6.4,-6.2,-5.9,-5.4,,77,
57,2009-02-27,750,Sheldon,0,-1.6,4.1,-7.7,34.5,21.7,20.3,7.2,,-6.3,-6.0,-5.8,-5.3,,67,
58,2009-02-28,750,Sheldon,0,3.4,9.2,-3.1,34.7,21.8,21.2,8.0,,-5.9,-5.8,-5.8,-5.3,,53,
59,2009-03-01,750,Sheldon,3,4.2,7.1,0.0,35.1,22.1,22.0,9.6,,-5.3,-5.4,-5.5,-5.1,,72,
60,2009-03-02,750,Sheldon,10,3.4,8.6,0.0,36.0,22.8,23.7,11.9,,-4.3,-4.5,-5.0,-4.8,,83,
61,2009-03-03,750,Sheldon,0,-0.9,1.2,-3.0,36.6,23.3,26.4,20.7,,-5.5,-5.3,-5.0,-4.6,,84,
62,2009-03-04,750,Sheldon,0,-3.1,-0.7,-5.8,36.3,23.1,26.6,25.1,,-5.6,-5.3,-5.2,-4.8,,78,
63,2009-03-05,750,Sheldon,0,-4.1,-0.9,-6.8,35.3,22.5,25.9,25.4,,-5.9,-5.6,-5.2,-4.8,,77,
64,2009-03-06,750,Sheldon,0,-5.3,-2.3,-11.0,34.4,22.0,24.9,25.0,,-6.1,-5.8,-5.4,-4.9,,78,
65,2009-03-07,750,Sheldon,0,-3.6,4.7,-14.2,31.5,21.2,23.8,24.5,,-6.2,-6.0,-5.5,-5.0,,73,
