,Date,Station Id,Station Name,Precipitation Increment (mm),Air Temperature Average (degC),Air Temperature Maximum (degC),Air Temperature Minimum (degC),Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degC) Mean of Hourly Values,Soil Temperature Observed -4in (degC) Mean of Hourly Values,Soil Temperature Observed -8in (degC) Mean of Hourly Values,Soil Temperature Observed -20in (degC) Mean of Hourly Values,Soil Temperature Observed -40in (degC) Mean of Hourly Values,Relative Humidity (pct) Mean of Hourly Values,Solar Radiation/langley Total (langley)
0,2014-10-27,2215,Bodie Hills,,,,,2.6,2.2,3.9,2.9,3.7,9.9,10.2,9.6,9.8,10.7,38,
1,2014-10-28,2215,Bodie Hills,,6.4,17.8,-2.7,2.4,2.0,4.2,2.6,3.9,7.9,8.0,8.4,9.6,10.6,42,381.6
2,2014-10-29,2215,Bodie Hills,0.0,8.2,19.2,-1.1,2.7,2.0,4.1,2.4,3.7,8.5,8.5,8.6,9.3,10.3,38,367.2
3,2014-10-30,2215,Bodie Hills,0.0,8.6,17.9,-1.4,2.6,1.9,4.3,2.5,3.9,7.9,8.2,8.5,9.2,10.2,35,270.1
4,2014-10-31,2215,Bodie Hills,3.0,8.3,15.3,0.1,2.7,1.9,4.2,2.5,3.6,8.7,8.6,8.7,9.1,10.1,38,361.2
5,2014-11-01,2215,Bodie Hills,6.0,-0.9,4.0,-5.0,2.5,1.8,4.2,2.4,3.9,5.0,6.8,8.1,9.1,9.9,77,193.3
6,2014-11-02,2215,Bodie Hills,0.0,-3.4,2.4,-8.3,2.6,1.7,3.9,2.6,4.1,1.1,3.4,5.6,8.7,9.8,77,291.0
7,2014-11-03,2215,Bodie Hills,0.0,-1.9,8.4,-11.3,2.5,1.7,4.1,2.5,4.2,0.0,1.9,3.9,8.0,9.7,55,361.0
8,2014-11-04,2215,Bodie Hills,0.0,3.8,13.9,-5.8,2.7,1.9,3.9,2.7,4.1,2.3,2.9,3.8,7.3,9.4,51,339.5
9,2014-11-05,2215,Bodie Hills,0.0,5.9,17.0,-2.5,2.9,1.7,4.0,2.5,3.9,5.2,4.9,4.9,7.0,9.1,64,347.6
10,2014-11-06,2215,Bodie Hills,0.0,8.7,18.4,-1.1,3.2,1.8,4.0,2.7,4.0,5.9,5.9,5.8,7.0,8.8,42,301.6
11,2014-11-07,2215,Bodie Hills,0.0,8.7,18.4,0.5,3.1,1.9,4.0,2.6,4.0,6.5,6.4,6.2,7.1,8.6,35,345.0
12,2014-11-08,2215,Bodie Hills,0.0,8.1,19.9,-0.1,3.4,2.0,4.1,2.5,3.9,7.0,6.9,6.7,7.2,8.4,41,330.2
13,2014-11-09,2215,Bodie Hills,0.0,9.5,20.5,0.8,3.5,2.0,4.2,2.6,3.9,7.6,7.3,7.0,7.3,8.4,33,338.6
